Respondant,Region,Store,Liked,Donﾒt like,Would Like,NPS Score
590,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Friendly staff.  Had dealt with George by email and he organised this shop to sell me my new tyres.  I explained I wanted the 2 new tyres put on the front and the best of the 4 tyres put in the book and 2 others placed on the rear with the  tread outside.  ,Next day discovered the 2 new tyres hadn't been put on the front.  Returned and they were willing to change them all over.  Only took 7 minutes. ,Advise what was done with new tyres orally.  The receipt was confusing about what was done.  ,8
591,Christchurch,RANGIORA,Nice people helpful as always!,,,8
592,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),the can do sort it out attitude - really good,the price of 2 new tyres.....,,8
593,Otago,OAMARU,fast efficient service.,,,8
594,Christchurch,RANGIORA,good service,,,8
595,Auckland,AUCKLAND - KINGSLAND,It was very fast and efficient service.,,,8
596,Bay of Plenty,WHAKATANE,Quick service. I went in to ask about fitting a couple of tyres. They had them in stock (they were exotic tyres not standard) and were able to do it then and there.,The cost :) just under $600 for 2.,Nothing springs to mind.,8
597,Northland ,WHANGAREI - WATER ST,They offered me a coffee while I waited for them to finish the job and it only took about five minutes,I turned up there in the morning and they could not see to my tyre uintil 3pm - a bit of a wait and the new tyre was quite expensive as they did not have any of the others in stock.,A lesser time to fix the tyre witha smaller price tag.,8
598,Bay of Plenty,TAURANGA - Cameron Road,All I  can say is they did a fine job in putting two new tyres and the staff was friendly.,No comment,All fine,8
599,Wellington,WELLINGTON - NEWTOWN,Good service.  Easy to book in.,,,8
600,Waikato,MATAMATA,Fast friendly service.,,,8
601,Southland,INVERCARGILL - ESK ST,Great customer service,I have no complaints to make,Them to serve milo,8
602,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Attended to straight away.,Nothing really.,No suggestions,8
603,Waikato,HAMILTON - TE RAPA,Excellent and quick service.  friendly and efficient.  Well done.  Offered alternatives to consider.  Did not feel pressured toward a particular type or price.  Happy to be given the options on which to make my own decision.,Was considering buying 4 tyres but decided to purchase two now with two in about a month's time. The tyres purchased were Fuelmax.  Was given a discount via the DHB discount scheme.  I had no downside message to put in until I came on to this website to discover the deal of purchasing three of the Fuelmax tyres and the fourth was free.  I was not informed of this deal.  The discount obtained from this deal would have been much better than the DHB discount scheme.  It would have been nice to know this was an option and how to obtain it (website voucher).  Now I can not take advantage of this deal as the instructions indicate it had to be all on one invoice.  Somewhat disappointed at this.,Fully inform customers of current deals even if the customer has to go home and obtain a voucher off the website.,8
604,Bay of Plenty,TAURANGA - Cameron Road,They went the extra mile,Nothing,,8
605,Wellington,LOWER HUTT - RUTHERFORD ST,Curtious staff ordered in tyre that I requested and fitted on the day requested by me.,,,8
606,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,service was good,,,8
607,Nelson & Marlborough,NELSON,Quick easy and friendly service,Nothing,Nothing to add,8
608,Christchurch,DARFIELD,Prompt attention,,,8
609,Otago,QUEENSTOWN,Friendly.  Aiming to be helpful.,,,8
610,Auckland,AUCKLAND - CLENDON,i  how the service was fast and friendly your staff are.,,to keep up the great work that you all do.,8
611,Auckland,AUCKLAND - WAIUKU,Exceptional service. Went out of their way to have ready on time.,,,8
612,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Great service,Tyres were expensive,Cant think of anything right now.,8
613,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Quick fast efficient service ,,,8
614,Wellington,WELLINGTON - NEWTOWN,thanks for a quick turnaround,n/a,all good from me,8
615,Auckland,AUCKLAND - NEWMARKET,Quick and efficient and close to my living place.,Limited choice of tyres.,Car cleaning services,8
616,Auckland,AUCKLAND - NEWMARKET,Quick and efficient.,Limited choices of tyres,Car cleaning services,8
617,Hawke's Bay,WAIPUKURAU,Prompt friendly service.  They provided good information on service and pricing on initial phone call and car finished in good time.,,Maybe a print out of the actual job ie wheel alignment report as have had this in the past.,8
618,Gisborne,GISBORNE - CHILDERS RD,Great service both at the store and online. Very helpful & professional,The tire listed on your website and negotiated for was for a Peugeot 307 Petrol 2006 (is incorrect). It is a 205/55/R16 not a 205/55/R15 and so the charge at the store was more for me. :(,make the correct call on tyre size please.,8
619,Auckland,AUCKLAND - HOWICK,Job done very smoothly. Price was good.,,,8
620,Waikato,HAMILTON - TE RAPA (Pukete Road),Fast and efficient,the price it was quite a lot for tryes and they only had to options,,8
621,Auckland,AUCKLAND - EAST TAMAKI,the team were very helpful they even pointed out an oil leak to me So I could get it fixed,nothing,more specials,8
622,Auckland,AUCKLAND - NEWMARKET,I have always found Beaurepaires staff to be very friendly and helpful.  My latest tyre service was no exception.,,It would have been helpful to leave with a Road Hazard Cover brochure.,8
623,Waikato,HAMILTON - TE RAPA (Pukete Road),Very efficient puncture repair with minimal communication.  Got the job done with absolutely no fuss.,,,8
624,Wellington,WELLINGTON - PARAPARAUMU,Fast Service and very helpful,,,8
625,Manawatu,LEVIN,They did the job straight away.,,,8
626,Auckland,AUCKLAND - MANUKAU CITY,Professional good advice.,Bad coffee,Put in a decent coffee machine,8
627,Hawke's Bay,WAIPUKURAU,Good service. Quick and at a price I was happy with.,Nothing,Would have been happier if they had the tyres I wanted in stock. Minor problem.,8
628,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Very quick - straight into it all done in minutes,nothing i didn't like,,8
629,Wairarapa,MASTERTON,My tyres were replaced and balanced int he time specified - which was quickly. I got double flybuys,That no one was a tht counter when i went in to pay,,8
630,Waikato,HAMILTON - TE RAPA (Pukete Road),Quick service and very friendly and helpful staff.  Cheers guys :-),,,8
631,Wellington,WELLINGTON - NEWTOWN,Great service - fast and the guys were really friendly and onto it. ,No issues. ,Not applicable. ,8
632,Auckland,AUCKLAND - GREY LYNN (Gt North Road),Carl is awesome.  Quick and easy.,,,8
633,Nelson & Marlborough,RICHMOND,Friendly and efficient,Said they would call when tyre had arrived. They did not.,,8
634,Waikato,HAMILTON - CITY,Super quick service from a polite and enthusiastic staff member,I would have appreciated more information about the road hazard cover before paying for it.,,8
635,Auckland,AUCKLAND - MANUKAU CITY,quick service,paying for tyres! :-),,8
636,Wellington,LOWER HUTT - RUTHERFORD ST,Getting Flybuys - know what I needed,,,8
637,Auckland,AUCKLAND - GLENFIELD (Archers Rd),They recommend what is best for the vehicle and safety of the driver and passengers.,,,8
638,Auckland,AUCKLAND - HENDERSON,Did not have to wait long - Prompt efficient service,Regular customer. If there were things I did not like I would not go back,,8
639,Otago,ALEXANDRA,Prompt and efficient service plus a quote for new tyres which was competative,Everything went well,I lived for a while on the west coast of the US and got tyres from a firm called Les Schwab who have multiple outlets in the Pacific north west. The fix flats for free regardless of whether you bought the tyres from them. I also purchased chains and if you don't use them you can take them back with the receipt and they will refund your money! The staff run everywhere (I'm not kidding) and they are shareholders in the company. During February they give away free beef packs size dependant on the amount of tyres purchased. Just some ideas.,8
640,Southland,INVERCARGILL - MERSEY ST,good service,,,8
641,Wellington,WELLINGTON - PARAPARAUMU,friendly service,nothing,,8
642,Waikato,HAMILTON - TE RAPA (Pukete Road),Quick and efficient service.,Everything was great.,,8
643,Southland,INVERCARGILL - ESK ST,Great service,,,8
644,Otago,QUEENSTOWN,Very efficient and understanding about children,,,8
645,Wairarapa,MASTERTON,Good quick service,,,8
646,Waikato,HAMILTON - TE RAPA,friendly and professional services. ,none.,,8
647,Auckland,AUCKLAND - GREY LYNN (Gt North Road),Quick friendly service. ,,,8
648,Wellington,WELLINGTON - NEWTOWN,fast efficient service. Good price too.,,,8
649,Auckland,AUCKLAND - GLENFIELD (Archers Rd),prompt and efficent service. good waiting room etc.good explanation of likely problem.friendy service and advice from staff,nothing,none  keep up as above,8
650,Bay of Plenty,ROTORUA - AMOHAU ST,went to Rotorua Te Nagae road as always Dan gave excellent service,,,8
651,Christchurch,CHRISTCHURCH - TUAM ST,I have bought about 5 sets of tyres from either this store or the old Ferry Rd store and received the usual good service from this store.,Nothing comes to mind.,,8
652,Southland,INVERCARGILL - ESK ST,Competent attentive staff.,,,8
653,Waikato,HAMILTON - TE RAPA (Pukete Road),Prompt service,,,8
654,Waikato,HAMILTON - CITY,Good Service. Had not made booking but was served immediately.,Nil,All okay,8
655,Bay of Plenty,MOUNT MAUNGANUI - HULL ROAD,very prompt and friendly service.,,,8
656,Bay of Plenty,MOUNT MAUNGANUI - HULL ROAD,Good price on new tyres and no delay in fitting. Also not a bad coffee while I waited.,Nothing,,8
657,Hawke's Bay,NAPIER - CARLYLE ST,Friendly professional service.  Thanks,,,8
658,Hawke's Bay,NAPIER - CARLYLE ST,Friendly professional service.  ,,,8
659,Waikato,HAMILTON - TE RAPA,Good service. Explanation of technical details. prompt attention.,,,8
660,Waikato,TE AWAMUTU,Real good friendly service,All good,,8
661,Auckland,AUCKLAND - NEWMARKET,good service,,,8
662,Auckland,AUCKLAND - GREY LYNN (Gt North Road),Prompt and friendly service,having to spend money on new tyres :),maybe close a little bit later than 5 as had to rush off from work before they closed.,8
663,Wairarapa,MASTERTON,Good fast service.,,,8
664,Auckland,AUCKLAND - MANUKAU CITY,Very efficient,,,8
665,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Great Service - organised via Lisa over your website enquiry form.,,,8
666,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,fast service and good explaination of tyre options,As anyone buying 4 tyres at one - the cost :),,8
667,Waikato,HAMILTON - TE RAPA (Pukete Road),Speedy and professional assistance,price wise a bit on the high side compared to some other tyre service businesses,price wise a bit on the high side compared to some other tyre service businesses,8
668,Waikato,HAMILTON - TE RAPA (Pukete Road),Puncture repaire was dealt with promptly,,,8
669,Auckland,AUCKLAND - KINGSLAND,I liked the clear explanation about the difference between the $250 and $150 tyre options.  The job was also completed within the time stated.,All good.,,8
670,Christchurch,CHRISTCHURCH - HORNBY,Friendly Service,Not sure my battery was tested before being replaced.... wasnt a battery problem was a relay problem,,8
671,Auckland,AUCKLAND - HENDERSON,very friendly staff prompt service,bit disappointed that they never blacken my other types to match the new one i had put on,,8
672,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Prompt service and explanation of what was required to fix tyre.,Having to buy a new tyre when the existing one was only 2 months old and not able to be fixed (not a Beaurepaires tyre).,,8
673,Auckland,AUCKLAND - GLENFIELD (Archers Rd),The staff were very professional and helpful,One of my tyres was pumped to high but this was fixed on site,None,8
674,Northland ,WHANGAREI - WATER ST,The free wipes that they gave us at the end of the service. Good clean waiting room and the guys were quick.,I was also interested in the coupon for cut price wheel alignment but the store didn't really know the details.,Add on quoted - hubby booked the tyres and when the bill was paid there seemed to be alot of extra charges. This isn't a problem but could annoy some people.,8
675,Bay of Plenty,ROTORUA - AMOHAU ST,Very helpful.,,,8
676,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Prompt and sensible service,,,8
677,Auckland,AUCKLAND - HOWICK,Professional and friendly service as I have been using them for the past 12 years.,Unfortunately one of the wheel centres was not tight enough and came lose while driving home and have been back and made them aware of this problem which they did apologise for.,Well you have to ensure that the wheels are secure before handing over the vehicle as this was a first from them but surely you have to ensure this does not happen again as customers will not be pleased with this and may go somewhere else.,8
678,Auckland,WARKWORTH,Very efficient courteous service,,,8
679,Wairarapa,MASTERTON,Very prompt helpful service,,,8
680,King Country,TAUMARUNUI,Prompt and efficient,,,8
681,Auckland,AUCKLAND - GLENFIELD (Archers Rd),All the guys there are always helpful and do a great job.,,,8
682,Auckland,AUCKLAND - MT ROSKILL (Cnr Richardson and McGowan Sts),Quick service and knowledgable staff. Ambience and waiting area was clean.,,,8
683,Auckland,WARKWORTH,The friendly service and how nice my tyres looked with the black paint. The way the said they could do it straight away.,They were to get a quote for some bushes and ring me but they did not.,No very polite and friendly.,8
684,Auckland,AUCKLAND - KINGSLAND,Quick and professional,,,8
685,Bay of Plenty,TAURANGA - Cameron Road,Prompt service,,,8
686,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Great service. Very helpful,,Nicer coffee!!,8
687,Wellington,WELLINGTON - UPPER HUTT,Very fast turn around and eager to help,I use this shop a bit and every time I go in there they try to tell me I need new tyres. I am a mechanic and while in this case i did need 2 tyres the other 2 still had several thousand kms left in them. ,Options to source quality 2nd hand tyres.,8
688,Christchurch,CHRISTCHURCH - SYDENHAM,Made an effort to fit me in even though they were busy. Pleasant service and clear instructions. ,,,8
689,Nelson & Marlborough,NELSON,quick andprompt service,the cost,more comfortable seats,8
690,Wellington,WELLINGTON - UPPER HUTT,All tyres made to look good.  (Painted),I little longer than I thought to fix puncture.  But was done in the time set.,What happen to free puncture repairs?,8
691,Christchurch,CHRISTCHURCH - NORTHWOOD,Good service well priced.,All good,,8
692,Auckland,AUCKLAND - EAST TAMAKI,prompt,n/a,none,8
693,Nelson & Marlborough,RICHMOND,Prompt friendly service whilst you wait,,,8
694,Southland,INVERCARGILL - ESK ST,My dad and I just turned up as we needed a puncture repair. One of the staff memebers approached us as soon as we entered the forecourt. He was very fiendly and helpful and we were back on the road in about 20 minutes.,,,8
695,Christchurch,CHRISTCHURCH - NORTHWOOD,Quick and affordable with a friendly smile to boot!,Nothing,,8
696,Wellington,WELLINGTON - THORNDON QUAY,staff friendly and helpful - called to advise when the work was done and offered hubcaps cause they noticed we had one missing.,nothing,,8
697,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),I was given price/ range options.  I was greeted and my puncture/ replacement done straight away.  Bonus wipes :-),,Inspection on all remaining tyres and a guideline for wear as I have a warrant coming up.  Save a surprise if more need replacing.,8
698,Auckland,AUCKLAND - BROWNS BAY,Quick response to online quote request and able to do the job the same day,,,8
699,Bay of Plenty,MOUNT MAUNGANUI - HULL ROAD,convenient for me to drop car off and pick up as the store is close to work.  friendly service.,Took over a week and numerous phone calls for my tyres to arrive - they were delivered to the wrong store.,,8
700,Otago,OAMARU,Prompt efficient friendly service,,,8
701,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,fiendly staff,,,8
702,Wellington,WELLINGTON - PARAPARAUMU,Excellent service witout an appointment. Helped me out with my first flat tire (unable to be repaired) in years. Very happy.,Nil,They were great not pushy.,8
703,Auckland,AUCKLAND - GREY LYNN (Gt North Road),Efficient friendly and sorted the tires with no fuss.,nothing,,8
704,Auckland,AUCKLAND - SILVERDALE,Prompt efficient friendly service.,,,8
705,Bay of Plenty,TAURANGA - Cameron Road,Quick efficient service,Nothing,None,8
706,Nelson & Marlborough,NELSON,Great service,nothing,no,8
707,Wellington,LOWER HUTT - RUTHERFORD ST,good service. Did new tyre even tho almost closing.,n/a,cream buns missing nxt to coffee machine!,8
708,Christchurch,CHRISTCHURCH - SYDENHAM,Everything else was great.  I have already recommended to my mother.,I asked for an indication of the price I could expect when I dropped the car off.  I was told $177.  The bill was closer to $300.  Perhaps I misheard and the person meant $277 plus the extra costs like disposal of tyres?  Perhaps the price was for one tyre?  I'm not sure how to account for the difference.,Clearer estimate of likely costs.,8
709,Auckland,AUCKLAND - NEWMARKET,Prompt and efficient service,,,8
710,Auckland,AUCKLAND - MT ROSKILL (Cnr Richardson and McGowan Sts),Had to return day after contact as needed tires had to be brought in from other branches. Quoted price fulfilled.  Good product and installation.,Tires had not arrived by appointed time.  Had to wait.,,8
711,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),The service was efficient and quick. The tyres that I had ordered weren't available so I was given an upgrade to a more expensive tyre without any extra charge. Very helpful in my telephone conversation the previous day when I was looking for prices and availability of tyres.,Nothing,,8
712,Wellington,WELLINGTON - PARAPARAUMU,Friendly staff - down to earth.,All fine.,No further suggestions.,8
713,Wellington,LOWER HUTT - VICTORIA ST,fast effective service and quality information around the service provided,,,8
714,Wellington,WELLINGTON - UPPER HUTT,the service level was prompt and very friendly,,,8
715,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Staff was helpful and friendly. Sourced the tube I needed for my courier lifting trolly which I could not find anywhere else.,Said he'd call me when done but I had to go in to retrieve (no call made).,,8
716,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Polite and friendly. On time and quick work. Honest. Didn't try to oversell.,,,8
717,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Get it done in about 20 minutes,A little pricey,,8
718,Bay of Plenty,TAURANGA - Cameron Road,good prompt service and recommendations,,,8
719,Auckland,AUCKLAND - SILVERDALE,Very helpful.,Order mix up.,Lower prices,8
720,Southland,GORE,friendly and efficient,,,8
721,Bay of Plenty,TAURANGA - CBD,Fast and effeciant service,No comment,No comment,8
722,Nelson & Marlborough,RICHMOND,the service ws fast and quick and friendly,everything whlie i was there was fine and i had no problems,,8
723,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Goodand a good priced tyre,,,8
724,Wellington,WELLINGTON - NEWTOWN,Great prompt and helpful service.,Nothing particular- didn't have any cost options explained. ,Explain different features of tyre deals and cost options.,8
725,King Country,TAUMARUNUI,Was greeted by 2 very helpful staff members who fitted the tyre and had the vehicle ready and waiting on our return. And it was cheaper than our usual place we get our tyres from!!,,,8
726,Wellington,WELLINGTON - PARAPARAUMU,Quick & friendly service,,,8
727,Auckland,AUCKLAND - TAKAPUNA (Barrys Point Rd),Good advice about tyres and friendly manner.,N/A,N/A,8
728,Auckland,WARKWORTH,friendly quick service,all good,,8
729,Nelson & Marlborough,NELSON,free coffee,,,8
730,Bay of Plenty,MOUNT MAUNGANUI - HULL ROAD,The coffee machine and comfortable chairs.,No complaints - everything went fine.,,8
731,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,They fitted my car in the next day which was great as we needed to get the tyres changed before going on holiday.,,,8
732,Otago,ALEXANDRA,GREAT SERVICE VERY HELPFUL,NO CONPLAINTS,N/A,8
733,Auckland,AUCKLAND - TAKAPUNA (Barrys Point Rd),Good service,I still have not received my fly buys points i don't know if its from your side or fly buys side.,,8
734,Auckland,AUCKLAND - HENDERSON,Excellent service,,,8
735,Mid & South Canterbury,ASHBURTON,I didn't have to wait too long for a time to get my alignment done and when I was getting it done it was completed sooner than expected.,Nothing,,8
736,Northland ,KERIKERI,Great friendly service. Did everything I asked. Clean customer area.,Nothing.,None.,8
737,Wellington,WELLINGTON - KENT TERRACE,Good helpful service. Didn't make any promises they could not meet,,,8
738,Nelson & Marlborough,NELSON,Fast and friendly service and tyres in stock.,Nothing,Maybe some sort of online quoting system that covers all the stores in one city rather than just a single store. This would be useful for out of town customers.,8
739,Auckland,AUCKLAND - BROWNS BAY,The person attended to me immediately and said he could replace the battery within 30 mins.,,,8
740,Auckland,WARKWORTH,quick helpful service,,,8
741,Otago,DUNEDIN - ANDERSONS BAY RD,Efficient service.,All good.Nothing comes to mind.,,8
742,Auckland,AUCKLAND - TAKANINI,Very helpful staff and prompt attention on arrival at reception.,No printout of the laser wheel alignment or any indication of whether adjustment was required or carried out.,Provide a hard copy of the wheel alignment figures before and after adjustment. Without this there is no evidence that the $89 investment was necesary or that checks were even made.,8
743,Wellington,WELLINGTON - THORNDON QUAY,Quick service.,,,8
744,Wellington,LOWER HUTT - RUTHERFORD ST,friendly service,They didn't view my union card which is supposed to give me some sort of discount. I told them when i took the tyre in but when they billed me they just said the discount had been given but I don't actually know if it had been.,,8
745,Auckland,AUCKLAND - HENDERSON,Fast no hassle freidnly service. Buy 3 get 4 .,NA,more fly buys specials,8
746,Auckland,AUCKLAND - EAST TAMAKI,Quick and easy,They didn't have space saver tyres,Should have space saver tyres,8
747,Auckland,AUCKLAND - KINGSLAND,service that has been deliverd ,didnt give much information on tyres ,,8
748,Bay of Plenty,TAURANGA - Cameron Road,Always go there - they are helpful and give good advice.,All good.,All good.,8
749,Bay of Plenty,TAURANGA - Cameron Road,Always go to them - really helpful and good advice.,,,8
750,Nelson & Marlborough,RICHMOND,The service was friendly and efficient,,,8
751,Christchurch,CHRISTCHURCH - NORTHWOOD,Great service.,,,8
752,Wellington,LOWER HUTT - VICTORIA ST,Quick & simple,,,8
753,Northland ,KERIKERI,Good Service and Prices,,,8
754,Auckland,AUCKLAND - EAST TAMAKI, One guy listened well ,One guy not wanting to do what they promised me,Prices cut in half,8
755,Otago,DUNEDIN - CUMBERLAND ST,The quick helpful service,,,8
756,Hawke's Bay,NAPIER - CARLYLE ST,Nice prompt service.  easy and fast,,,8
757,Christchurch,CHRISTCHURCH - NORTHWOOD,The quick service - getting the correct tyres instore (approx 3 hours) and gettting them fitted onto the car (approx 30 mins). I was also pleasantly surprised that I had a new warrant put on my car saving me a trip back to the WOF place. The tyres were the only thing recommended to be fixed in the next 2-3 months. One tyre was fitted the wrong way around - not by Beaurepairs - and needed to be changed for my warrant but I decided to get new tyres now for safety reasons.,The price was about $20 a tyre more expensive than a similar tyre from Tony's tyre service. I have also been disappointed in the past that Beaurepairs do not offer a free puncture repair service like Tony's,I would really like to have free puncture repairs,8
758,Waikato,HAMILTON - TE RAPA (Pukete Road),Very quick and efficient on the phone. Competitive prices. Flybuys.,Nothing worth commenting on.,Maybe the person whom you speak to on the phone dealing with you or at least making contact at the store.,8
759,Auckland,AUCKLAND - MT ROSKILL (Cnr Richardson and McGowan Sts),prompt service and had the product that I wanted.,,,8
760,King Country,TAUMARUNUI,prompt service,,,8
761,Auckland,AUCKLAND - HOWICK,I managed to get my car booked in the day I rang which was also a week before Christmas.,Having to walk through the workshop to get to the office which didn't seem the safest with 2 small children in tow.,,8
762,Gisborne,GISBORNE - CHILDERS RD,Extremely efficient service,nil,none,8
763,Christchurch,DARFIELD,Good advice on replacement of shock absorbers,,,8
764,Wellington,LOWER HUTT - RUTHERFORD ST,Finishing the job faster than quoted. The good deal. Good communication via email.,The lack of room to wait for the job to be done.,A bigger waiting space?,8
765,Wellington,WELLINGTON - KENT TERRACE,Prompt service,why not ask if i would like replacement hub caps?,my old plastic hub caps replaced,8
766,Bay of Plenty,ROTORUA - AMOHAU ST,No nonsense service. Convenient,Nil,,8
767,Auckland,AUCKLAND - MANUKAU CITY,No messing about. Was ready when I returned as promised. ,,,8
768,Christchurch,CHRISTCHURCH - NORTHWOOD,Great service & great specials on Goodyear tyres ,They got oil on my upholstery on the drivers seat & I've got to try & clean that off now. They should have put a sheet on the seat!,Put a cover on the drivers seat before you sit on it so you don't get oil on it. ,8
769,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Great service,,,8
770,Taranaki & Wanganui ,WANGANUI,very friendly staff here, some time they don't have some stock which I wanted.,Periodic inspction of the tire for free.,8
771,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Prompt friendly service.  did the job when they said they would,dont like the added-on selling of insurance/warranty of tyres.  tryes have a legislated guarantee,,8
772,Auckland,AUCKLAND - SILVERDALE,good kiwi service - knowlegable on product,nothing,,8
773,Wellington,LOWER HUTT - RUTHERFORD ST,Friendly staff and good service,i was told to come back at a set time but my car was not ready and i had to wait another 30mins after they had it already an hour and a quarter,,8
774,Wellington,WELLINGTON - NEWTOWN,imediate service,-,-,8
775,Bay of Plenty,TAURANGA - Cameron Road,service was good.,,,8
776,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),quick and professional service,,,8
777,Auckland,AUCKLAND - HOWICK,Response time and services,,,8
778,Waikato,HAMILTON - CITY,Offered to drop me at work so i didnt have to walk,no complaints :),,8
779,Otago,OAMARU,People,Price,,8
780,King Country,TAUMARUNUI,Efficent and obliging staff,,,8
781,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Good service,,,8
782,Wairarapa,MASTERTON,Great Service.  Great price.  ,There was nothing I didn't like.,,8
783,Auckland,AUCKLAND - NEWMARKET,Everything was done well land efficiently and when there was a problem it was sorted with no hassle.,Nothing,None,8
784,Bay of Plenty,WHAKATANE,efficient friendly helpful,didnt have my first choice of tyres in stock,,8
785,Wellington,WELLINGTON - UPPER HUTT,Friendly service.  Accurate timing. Easy choices. ,There was nothing to dislike.,,8
786,Auckland,AUCKLAND - KINGSLAND,They made sure we knew all the details for tyres of our model including the hidden costs. They were courteous & had a clean waiting room & toilet area with refreshments provided & were most efficient. It was a most enjoyable experience. ,,,8
787,Otago,DUNEDIN - CUMBERLAND ST,very simple ,,,8
788,Southland,INVERCARGILL - ESK ST,quick service,,,8
789,Auckland,AUCKLAND - GLENFIELD (Archers Rd),The good service I was offered by the men. They checked all the air in my tires which is nice as I don't do it. ,,,8
790,Auckland,AUCKLAND - NEWMARKET,The car was ready when it was supposed to be and the staff were helpful and polite,The pay and go process was a bit too long because the only staff member in the office was trying to deal with both the phone and the people who wanted to pay and go at the same time.  The phone call that interrupted my transaction seemed to take forever as the caller clearly wanted advice and prices.,,8
791,Auckland,AUCKLAND - MANUKAU CITY,The service. People are very helpful,The coffe macine was not properly working. No cups or sugar or . Gave me colour water. No dustbins to dump the cofee. It was horrible,The service was good.,8
792,Auckland,AUCKLAND - GREENLANE (Gt South Rd),quick and easy,N/A,N/A,8
793,Wellington,WELLINGTON - UPPER HUTT,Cleanliness of store,Was booked in for 9.30am. When I arrived was only one man working who opologised profusely and told me a management meeting was on and only him there and he wouldnt be able to start my car till at least 10.15am,Enough staff to start on agreed times!! Not usually like this.,8
794,Bay of Plenty,WHAKATANE,Good quick service,,,8
795,Auckland,AUCKLAND - GLENFIELD (Archers Rd),nice and friendly welcome,,,8
796,Southland,INVERCARGILL - ESK ST,It was easy!  My tires where cleaned & made to look new.,I'm not sure if my wheels are actually aligned.  My car still veered to the left after having it done.  The second time I tried it was ok.  I need to try again to confirm.  There was a sheet of paper on the seat that stated what the figures of alignment should be & a gap for the service men to put the original figures before it was adjusted.  It would have been good to have had those figures but it wasn't filled in.,,8
797,Christchurch,DARFIELD,Very helPful. Good advice ,,,8
798,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Get service - friendly & prompt,,,8
799,Auckland,AUCKLAND - EAST TAMAKI,The guys were nice and friendly and very efficient at their job.  When asked a question they knew what they were talking about.,,,8
800,Wellington,LOWER HUTT - VICTORIA ST,Very helpful and informative,N/A,,8
801,Christchurch,RANGIORA,all good,,,8
802,Northland ,KERIKERI,very very helpfull ,gave us the best deal for our budget,nothing,8
803,Wellington,WELLINGTON - PARAPARAUMU,The customer service was great! Everything was done in the time frame that I was told. The price was reasonable.,The wheel balance isn't the greatest and could be better and I have to go back to them in order to get it checked. ,Everything was great and the service was good. Maybe just check that everything is tested to be working properly at 100%,8
804,Christchurch,CHRISTCHURCH - NORTHWOOD,Efficient and friendly service.,,,8
805,Auckland,AUCKLAND - MANUKAU CITY,Quick service,,,8
806,Wellington,WELLINGTON - KENT TERRACE,quick and hassle free,-,-,8
807,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Promt and friendly service. Told immidiattly of the best deal and best product options.,Need motorsport dvd's on the tv.,,8
808,Christchurch,CHRISTCHURCH - SYDENHAM,dropped my car off and left them to do what they needed to do and collected it later that day - no pressure on them and no sitting around waiting for me :),,,8
809,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Excellent service with a smile,The over sweet coffee,New coffee machine.,8
810,Auckland,AUCKLAND - TAKANINI,Sound advice & possible options all good.,,nothing immediate,8
811,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Friendly. Informative,,,8
812,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Dealt with my problem promptly.  ,,,8
813,Auckland,AUCKLAND - GLENFIELD (Archers Rd),No pressure to buy the most expensive tyres and confident the advice regarding my existing tyres was accurate.  Prompt service.,Fairly limited range of magazines in waiting room and room a bit uninspiring.,,8
814,Auckland,AUCKLAND - WAIUKU,Friendly service,was a satisfied customer,,8
815,Waikato,HAMILTON - TE RAPA (Pukete Road),The service was excellent and staff very friendly and helpful,Nothing,No suggestions,8
816,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,good service,,,8
